,crossover-probability,crossover-type,elitism-rate,keep-parents,fitness,mutation-probability,selection-type,status
0,[0.44622935713327205],[1],[0.5305099530454163],[1],-186.0,[0.70554398733995],[1],ok
1,[0.23999993554885599],[0],[0.5264607342631867],[0],-176.0,[0.9200747003787453],[0],ok
2,[0.3099319471871851],[0],[0.15095347142365279],[4],-178.0,[0.8894397974466625],[1],ok
3,[0.6878876207511202],[1],[0.8118360475354174],[0],-185.0,[0.341002924688226],[1],ok
4,[0.8481127123857972],[1],[0.3546717905288965],[2],-181.0,[0.20379033656014933],[1],ok
5,[0.935734002260582],[1],[0.46087007815939374],[0],-182.0,[0.8103777934211536],[1],ok
6,[0.7480363667189118],[1],[0.9180697973118866],[3],-186.0,[0.525134338784373],[1],ok
7,[0.16535787365526694],[1],[0.7451859930429571],[4],-186.0,[0.6566700848759986],[1],ok
8,[0.5648121996179964],[0],[0.9450783037632633],[4],-180.0,[0.4571836893017305],[0],ok
9,[0.7719049380928529],[1],[0.6680880300230456],[2],-188.0,[0.7861998735112282],[1],ok
